dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
176,85962,HP1264,,E,15547264,
176,85962,HP1263,,NE,15547264,
176,85962,HP1262,,NE,15547264,
176,85962,HP1260,,NE,15547264,
176,85962,HP1259,,NE,15547264,
176,85962,HP1258,,NE,15547264,
176,85962,HP1257,,NE,15547264,
176,85962,HP1256,,NE,15547264,
176,85962,HP1255,,NE,15547264,
176,85962,HP1254,,E,15547264,
176,85962,HP1253,,E,15547264,
176,85962,HP1252,,NE,15547264,
176,85962,HP1251,,NE,15547264,
176,85962,HP1249,,E,15547264,
176,85962,HP1248,,NE,15547264,
176,85962,HP1247,,E,15547264,
176,85962,HP1245,,E,15547264,
176,85962,HP1244,,E,15547264,
176,85962,HP1243,,NE,15547264,
176,85962,HP1241,,NE,15547264,
176,85962,HP1240,,E,15547264,
176,85962,HP1239,,E,15547264,
176,85962,HP1237,,NE,15547264,
176,85962,HP1236,,E,15547264,
176,85962,HP1234,,E,15547264,
176,85962,HP1235,,NE,15547264,
176,85962,HP1233,,NE,15547264,
176,85962,HP1232,,NE,15547264,
176,85962,HP1231,,E,15547264,
176,85962,HP1229,,E,15547264,
176,85962,HP1228,,NE,15547264,
176,85962,HP1227,,NE,15547264,
176,85962,HP1225,,NE,15547264,
176,85962,HP1224,,NE,15547264,
176,85962,HP1223,,NE,15547264,
176,85962,HP1222,,NE,15547264,
176,85962,HP1221,,NE,15547264,
176,85962,HP1220,,NE,15547264,
176,85962,HP1218,,NE,15547264,
176,85962,HP1217,,E,15547264,
176,85962,HP1216,,E,15547264,
176,85962,HP1214,,NE,15547264,
176,85962,HP1212,,NE,15547264,
176,85962,HP1213,,NE,15547264,
176,85962,HP1211,,NE,15547264,
176,85962,HP1210,,NE,15547264,
176,85962,HP1208,,NE,15547264,
176,85962,HP1207,,NE,15547264,
176,85962,HP1206,,E,15547264,
176,85962,HP1204,,NE,15547264,
176,85962,HP1203,,E,15547264,
176,85962,HP1202,,E,15547264,
176,85962,HP1201,,NE,15547264,
176,85962,HP1199,,NE,15547264,
176,85962,HP1198,,NE,15547264,
176,85962,HP1197,,E,15547264,
176,85962,HP1195,,NE,15547264,
176,85962,HP1194,,NE,15547264,
176,85962,HP1192,,NE,15547264,
176,85962,HP1190,,E,15547264,
176,85962,HP1191,,NE,15547264,
176,85962,HP1189,,NE,15547264,
176,85962,HP1188,,NE,15547264,
176,85962,HP1187,,NE,15547264,
176,85962,HP1186,,NE,15547264,
176,85962,HP1185,,NE,15547264,
176,85962,HP1184,,NE,15547264,
176,85962,HP1182,,NE,15547264,
176,85962,HP1181,,NE,15547264,
176,85962,HP1180,,NE,15547264,
176,85962,HP1179,,NE,15547264,
176,85962,HP1178,,NE,15547264,
176,85962,HP1177,,NE,15547264,
176,85962,HP1174,,NE,15547264,
176,85962,HP1175,,NE,15547264,
176,85962,HP1173,,NE,15547264,
176,85962,HP1172,,NE,15547264,
176,85962,HP1171,,NE,15547264,
176,85962,HP1170,,E,15547264,
176,85962,HP1168,,NE,15547264,
176,85962,HP1167,,NE,15547264,
176,85962,HP1166,,NE,15547264,
176,85962,HP1164,,NE,15547264,
176,85962,HP1163,,E,15547264,
176,85962,HP1161,,E,15547264,
176,85962,HP1162,,NE,15547264,
176,85962,HP1160,,NE,15547264,
176,85962,HP1159,,NE,15547264,
176,85962,HP1158,,NE,15547264,
176,85962,HP1157,,NE,15547264,
176,85962,HP1156,,NE,15547264,
176,85962,HP1154,,NE,15547264,
176,85962,HP1153,,E,15547264,
176,85962,HP1152,,NE,15547264,
176,85962,HP1150,,E,15547264,
176,85962,HP1151,,NE,15547264,
176,85962,HP1149,,E,15547264,
176,85962,HP1148,,NE,15547264,
176,85962,HP1147,,NE,15547264,
176,85962,HP1146,,NE,15547264,
176,85962,HP1145,,NE,15547264,
176,85962,HP1144,,NE,15547264,
176,85962,HP1141,,NE,15547264,
176,85962,HP1140,,NE,15547264,
176,85962,HP1138,,NE,15547264,
176,85962,HP1137,,E,15547264,
176,85962,HP1135,,E,15547264,
176,85962,HP1134,,NE,15547264,
176,85962,HP1133,,E,15547264,
176,85962,HP1132,,E,15547264,
176,85962,HP1131,,E,15547264,
176,85962,HP1130,,E,15547264,
176,85962,HP1129,,E,15547264,
176,85962,HP1126,,NE,15547264,
176,85962,HP1125,,NE,15547264,
176,85962,HP1124,,NE,15547264,
176,85962,HP1123,,NE,15547264,
176,85962,HP1122,,NE,15547264,
176,85962,HP1121,,NE,15547264,
176,85962,HP1120,,NE,15547264,
176,85962,HP1119,,NE,15547264,
176,85962,HP1118,,NE,15547264,
176,85962,HP1117,,NE,15547264,
176,85962,HP1116,,NE,15547264,
176,85962,HP1114,,NE,15547264,
176,85962,HP1113,,NE,15547264,
176,85962,HP1112,,NE,15547264,
176,85962,HP1111,,NE,15547264,
176,85962,HP1109,,NE,15547264,
176,85962,HP1108,,E,15547264,
176,85962,HP1107,,NE,15547264,
176,85962,HP1106,,NE,15547264,
176,85962,HP1105,,NE,15547264,
176,85962,HP1104,,NE,15547264,
176,85962,HP1103,,NE,15547264,
176,85962,HP1102,,E,15547264,
176,85962,HP1101,,NE,15547264,
176,85962,HP1100,,NE,15547264,
176,85962,HP1098,,NE,15547264,
176,85962,HP1097,,NE,15547264,
176,85962,HP1096,,NE,15547264,
176,85962,HP1095,,NE,15547264,
176,85962,HP1094,,NE,15547264,
176,85962,HP1092,,NE,15547264,
176,85962,HP1091,,NE,15547264,
176,85962,HP1090,,NE,15547264,
176,85962,HP1089,,E,15547264,
176,85962,HP1088,,NE,15547264,
176,85962,HP1087,,E,15547264,
176,85962,HP1085,,E,15547264,
176,85962,HP1084,,NE,15547264,
176,85962,HP1083,,NE,15547264,
176,85962,HP1082,,NE,15547264,
176,85962,HP1081,,NE,15547264,
176,85962,HP1080,,NE,15547264,
176,85962,HP1077,,NE,15547264,
176,85962,HP1076,,E,15547264,
176,85962,HP1075,,NE,15547264,
176,85962,HP1072,,NE,15547264,
176,85962,HP1071,,NE,15547264,
176,85962,HP1070,,E,15547264,
176,85962,HP1069,,E,15547264,
176,85962,HP1068,,NE,15547264,
176,85962,HP1067,,E,15547264,
176,85962,HP1066,,NE,15547264,
176,85962,HP1065,,E,15547264,
176,85962,HP1064,,E,15547264,
176,85962,HP1063,,NE,15547264,
176,85962,HP1062,,NE,15547264,
176,85962,HP1060,,E,15547264,
176,85962,HP1059,,E,15547264,
176,85962,HP1058,,E,15547264,
176,85962,HP1057,,E,15547264,
176,85962,HP1056,,E,15547264,
176,85962,HP1055,,E,15547264,
176,85962,HP1054,,E,15547264,
176,85962,HP1053,,E,15547264,
176,85962,HP1052,,E,15547264,
176,85962,HP1051,,NE,15547264,
176,85962,HP1050,,NE,15547264,
176,85962,HP1049,,NE,15547264,
176,85962,HP1048,,NE,15547264,
176,85962,HP1047,,E,15547264,
176,85962,HP1046,,NE,15547264,
176,85962,HP1045,,NE,15547264,
176,85962,HP1044,,NE,15547264,
176,85962,HP1043,,NE,15547264,
176,85962,HP1041,,NE,15547264,
176,85962,HP1042,,NE,15547264,
176,85962,HP1040,,E,15547264,
176,85962,HP1039,,NE,15547264,
176,85962,HP1038,,E,15547264,
176,85962,HP1037,,NE,15547264,
176,85962,HP1036,,NE,15547264,
176,85962,HP1035,,NE,15547264,
176,85962,HP1034,,E,15547264,
176,85962,HP1032,,NE,15547264,
176,85962,HP1033,,NE,15547264,
176,85962,HP1031,,NE,15547264,
176,85962,HP1030,,NE,15547264,
176,85962,HP1029,,NE,15547264,
176,85962,HP1028,,NE,15547264,
176,85962,HP1026,,NE,15547264,
176,85962,HP1025,,NE,15547264,
176,85962,HP1024,,NE,15547264,
176,85962,HP1023,,NE,15547264,
176,85962,HP1021,,NE,15547264,
176,85962,HP1022,,NE,15547264,
176,85962,HP1020,,NE,15547264,
176,85962,HP1019,,E,15547264,
176,85962,HP1017,,E,15547264,
176,85962,HP1015,,NE,15547264,
176,85962,HP1014,,NE,15547264,
176,85962,HP1012,,E,15547264,
176,85962,HP1011,,NE,15547264,
176,85962,HP1010,,NE,15547264,
176,85962,HP1009,,NE,15547264,
176,85962,HP1006,,NE,15547264,
176,85962,HP1005,,NE,15547264,
176,85962,HP1004,,NE,15547264,
176,85962,HP1003,,NE,15547264,
176,85962,HP1002,,NE,15547264,
176,85962,HP1001,,NE,15547264,
176,85962,HP1000,,NE,15547264,
176,85962,HP0999,,NE,15547264,
176,85962,HP0998,,NE,15547264,
176,85962,HP0997,,NE,15547264,
176,85962,HP0989,,NE,15547264,
176,85962,HP0988,,NE,15547264,
176,85962,HP0985,,NE,15547264,
176,85962,HP0984,,E,15547264,
176,85962,HP0983,,NE,15547264,
176,85962,HP0981,,NE,15547264,
176,85962,HP0980,,NE,15547264,
176,85962,HP0979,,E,15547264,
176,85962,HP0978,,NE,15547264,
176,85962,HP0976,,NE,15547264,
176,85962,HP0977,,NE,15547264,
176,85962,HP0974,,NE,15547264,
176,85962,HP0973,,E,15547264,
176,85962,HP0972,,NE,15547264,
176,85962,HP0971,,NE,15547264,
176,85962,HP0969,,NE,15547264,
176,85962,HP0966,,NE,15547264,
176,85962,HP0965,,NE,15547264,
176,85962,HP0963,,E,15547264,
176,85962,HP0962,,NE,15547264,
176,85962,HP0960,,NE,15547264,
176,85962,HP0959,,E,15547264,
176,85962,HP0958,,NE,15547264,
176,85962,HP0957,,E,15547264,
176,85962,HP0956,,E,15547264,
176,85962,HP0955,,NE,15547264,
176,85962,HP0953,,NE,15547264,
176,85962,HP0952,,NE,15547264,
176,85962,HP0950,,NE,15547264,
176,85962,HP0949,,NE,15547264,
176,85962,HP0948,,NE,15547264,
176,85962,HP0947,,NE,15547264,
176,85962,HP0946,,NE,15547264,
176,85962,HP0944,,NE,15547264,
176,85962,HP0942,,NE,15547264,
176,85962,HP0941,,E,15547264,
176,85962,HP0939,,NE,15547264,
176,85962,HP0938,,NE,15547264,
176,85962,HP0936,,NE,15547264,
176,85962,HP0937,,NE,15547264,
176,85962,HP0935,,E,15547264,
176,85962,HP0934,,NE,15547264,
176,85962,HP0933,,NE,15547264,
176,85962,HP0931,,E,15547264,
176,85962,HP0930,,NE,15547264,
176,85962,HP0929,,E,15547264,
176,85962,HP0928,,E,15547264,
176,85962,HP0927,,E,15547264,
176,85962,HP0926,,NE,15547264,
176,85962,HP0925,,NE,15547264,
176,85962,HP0924,,NE,15547264,
176,85962,HP0923,,NE,15547264,
176,85962,HP0922,,NE,15547264,
176,85962,HP0920,,E,15547264,
176,85962,HP0919,,NE,15547264,
176,85962,HP0918,,NE,15547264,
176,85962,HP0916,,NE,15547264,
176,85962,HP0915,,NE,15547264,
176,85962,HP0913,,NE,15547264,
176,85962,HP0912,,NE,15547264,
176,85962,HP0910,,NE,15547264,
176,85962,HP0909,,NE,15547264,
176,85962,HP0907,,NE,15547264,
176,85962,HP0902,,NE,15547264,
176,85962,HP0901,,NE,15547264,
176,85962,HP0900,,NE,15547264,
176,85962,HP0898,,NE,15547264,
176,85962,HP0897,,NE,15547264,
176,85962,HP0896,,NE,15547264,
176,85962,HP0895,,NE,15547264,
176,85962,HP0893,,NE,15547264,
176,85962,HP0892,,NE,15547264,
176,85962,HP0891,,NE,15547264,
176,85962,HP0890,,NE,15547264,
176,85962,HP0889,,NE,15547264,
176,85962,HP0888,,NE,15547264,
176,85962,HP0886,,NE,15547264,
176,85962,HP0885,,NE,15547264,
176,85962,HP0884,,NE,15547264,
176,85962,HP0880,,E,15547264,
176,85962,HP0879,,NE,15547264,
176,85962,HP0878,,NE,15547264,
176,85962,HP0876,,NE,15547264,
176,85962,HP0875,,NE,15547264,
176,85962,HP0874,,NE,15547264,
176,85962,HP0873,,NE,15547264,
176,85962,HP0872,,NE,15547264,
176,85962,HP0871,,NE,15547264,
176,85962,HP0870,,NE,15547264,
176,85962,HP0869,,NE,15547264,
176,85962,HP0868,,E,15547264,
176,85962,HP0867,,NE,15547264,
176,85962,HP0866,,E,15547264,
176,85962,HP0864,,NE,15547264,
176,85962,HP0863,,NE,15547264,
176,85962,HP0861,,NE,15547264,
176,85962,HP0860,,E,15547264,
176,85962,HP0859,,NE,15547264,
176,85962,HP0858,,E,15547264,
176,85962,HP0857,,NE,15547264,
176,85962,HP0854,,E,15547264,
176,85962,HP0853,,NE,15547264,
176,85962,HP0852,,E,15547264,
176,85962,HP0850,,NE,15547264,
176,85962,HP0849,,E,15547264,
176,85962,HP0846,,NE,15547264,
176,85962,HP0844,,NE,15547264,
176,85962,HP0845,,NE,15547264,
176,85962,HP0843,,NE,15547264,
176,85962,HP0842,,NE,15547264,
176,85962,HP0841,,NE,15547264,
176,85962,HP0840,,NE,15547264,
176,85962,HP0839,,NE,15547264,
176,85962,HP0837,,NE,15547264,
176,85962,HP0838,,NE,15547264,
176,85962,HP0836,,NE,15547264,
176,85962,HP0835,,E,15547264,
176,85962,HP0834,,NE,15547264,
176,85962,HP0832,,NE,15547264,
176,85962,HP0831,,E,15547264,
176,85962,HP0830,,NE,15547264,
176,85962,HP0829,,NE,15547264,
176,85962,HP0827,,NE,15547264,
176,85962,HP0826,,NE,15547264,
176,85962,HP0824,,NE,15547264,
176,85962,HP0825,,NE,15547264,
176,85962,HP0823,,NE,15547264,
176,85962,HP0822,,NE,15547264,
176,85962,HP0821,,NE,15547264,
176,85962,HP0820,,E,15547264,
176,85962,HP0818,,NE,15547264,
176,85962,HP0817,,NE,15547264,
176,85962,HP0816,,NE,15547264,
176,85962,HP0814,,NE,15547264,
176,85962,HP0812,,NE,15547264,
176,85962,HP0811,,E,15547264,
176,85962,HP0809,,E,15547264,
176,85962,HP0808,,NE,15547264,
176,85962,HP0807,,E,15547264,
176,85962,HP0805,,NE,15547264,
176,85962,HP0804,,NE,15547264,
176,85962,HP0803,,NE,15547264,
176,85962,HP0802,,NE,15547264,
176,85962,HP0800,,NE,15547264,
176,85962,HP0799,,E,15547264,
176,85962,HP0798,,E,15547264,
176,85962,HP0797,,NE,15547264,
176,85962,HP0796,,NE,15547264,
176,85962,HP0794,,NE,15547264,
176,85962,HP0793,,E,15547264,
176,85962,HP0791,,E,15547264,
176,85962,HP0790,,NE,15547264,
176,85962,HP0789,,NE,15547264,
176,85962,HP0788,,NE,15547264,
176,85962,HP0787,,NE,15547264,
176,85962,HP0786,,NE,15547264,
176,85962,HP0783,,NE,15547264,
176,85962,HP0782,,NE,15547264,
176,85962,HP0780,,NE,15547264,
176,85962,HP0779,,NE,15547264,
176,85962,HP0778,,NE,15547264,
176,85962,HP0776,,E,15547264,
176,85962,HP0775,,E,15547264,
176,85962,HP0773,,E,15547264,
176,85962,HP0772,,NE,15547264,
176,85962,HP0770,,NE,15547264,
176,85962,HP0769,,NE,15547264,
176,85962,HP0768,,NE,15547264,
176,85962,HP0767,,E,15547264,
176,85962,HP0764,,NE,15547264,
176,85962,HP0763,,E,15547264,
176,85962,HP0762,,NE,15547264,
176,85962,HP0761,,E,15547264,
176,85962,HP0759,,NE,15547264,
176,85962,HP0758,,NE,15547264,
176,85962,HP0757,,NE,15547264,
176,85962,HP0756,,NE,15547264,
176,85962,HP0755,,NE,15547264,
176,85962,HP0753,,NE,15547264,
176,85962,HP0754,,NE,15547264,
176,85962,HP0752,,NE,15547264,
176,85962,HP0751,,NE,15547264,
176,85962,HP0750,,E,15547264,
176,85962,HP0748,,E,15547264,
176,85962,HP0747,,NE,15547264,
176,85962,HP0746,,E,15547264,
176,85962,HP0745,,E,15547264,
176,85962,HP0743,,NE,15547264,
